district,neighborhood,total_listings,avg_price,avg_price_per_m2
 Eyüpsultan , Topçular Mah.,1,20000.0,222.22222222222223
 Şişli , Eskişehir Mah.,40,17717.5,220.41455191759565
 Silivri , Balaban Mah.,3,49166.666666666664,219.96376811594203
 Kağıthane , Sultan Selim Mah.,70,18224.285714285714,219.62895108458704
 Maltepe , Cevizli Mah.,14,23220.0,218.9178912012763
 Ümraniye , Çakmak Mah.,8,19356.25,218.79121824168263
 Sarıyer , Bahçeköy Merkez Mah.,10,19432.0,218.03082788671023
 Ümraniye , Ihlamurkuyu Mah.,3,19333.333333333332,217.41019214703428
 Maltepe , Küçükyalı Mah.,33,25606.060606060608,216.3350968195918
 Fatih , Cibali Mah.,3,14716.666666666666,215.7469654528478
 Beyoğlu , Bedrettin Mah.,1,14000.0,215.3846153846154
 Maltepe , Başıbüyük Mah.,12,19662.083333333332,214.85491165955082
 Şişli , Paşa Mah.,35,17867.571428571428,214.6871777484002
 Ümraniye , Namık Kemal Mah.,15,20335.333333333332,214.3084899378091
 Bağcılar , Göztepe Mah.,6,19958.333333333332,214.05555555555557
 Bakırköy , Zuhuratbaba Mah.,34,23885.882352941175,213.17242755184603
 Çekmeköy , Sultançiftliği Mah.,14,23065.0,212.99252236558138
 Kağıthane , Gürsel Mah.,39,19015.641025641027,212.60419892810765
 Küçükçekmece , Fatih Mah.,19,21887.894736842107,212.52917258632593
 Beyoğlu , Camiikebir Mah.,2,17000.0,212.5
 Çekmeköy , Aydınlar Mah.,6,14112.5,212.1846405228758
 Eyüpsultan , Karadolap Mah.,25,19821.4,212.0797448433919
 Ümraniye , Saray Mah.,6,22566.666666666668,211.19783197831978
 Şişli , Bozkurt Mah.,38,20041.447368421053,211.05835505984342
 Gaziosmanpaşa , Barbaros Hayrettinpaşa Mah.,4,18750.0,211.04066985645932
 Eyüpsultan , Defterdar Mah.,1,21000.0,210.0
 Esenler , Menderes Mah.,8,24906.25,209.93431416225533
 Sancaktepe , Veysel Karani Mah.,3,31786.666666666668,209.67274340208473
 Büyükçekmece , Kumburgaz Mah.,10,20893.0,209.21358323770664
 Eyüpsultan , Yeşilpınar Mah.,8,20525.0,208.78920786815524
 Şile , Meşrutiyet Mah.,2,37500.0,208.74384236453204
 Fatih , Hırka-i Şerif Mah.,10,16295.0,208.64840098804294
 Gaziosmanpaşa , Mevlana Mah.,4,23167.5,208.34722222222223
 Pendik , Yenişehir Mah.,31,22228.225806451614,208.11263333811308
 Şişli , Halide Edip Adıvar Mah.,33,20274.39393939394,207.7455580169484
 Silivri , Fatih Mah.,1,13500.0,207.69230769230768
